"WGS84.LAT","WGS84.LNG","ALTITUDE","AREA","MUNICIPALITY","Date.when.ovitrap.installed","Date.when.ovitrap.collected","No..Days.ovitrap.in.field","Week.when.ovitrap.collected","No..eggs.AEDES","No..Eggs.AEDES.in.14.days","TRAP.ID.fac","Day.ovitrap.collected","no.eggs.normalised.14.days"
45.84548,9.00037,263,"Intervention","Balerna",2019-05-23,2019-06-09,17,23,0,0,"BAL-11a",160,0
45.84548,9.00037,263,"Intervention","Balerna",2019-06-09,2019-06-21,12,25,29,33.8333333333333,"BAL-11a",172,33.8333333333333
45.84548,9.00037,263,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,0,0,"BAL-11a",211,0
45.84548,9.00037,263,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,52,52,"BAL-11a",225,52
45.84548,9.00037,263,"Intervention","Balerna",2019-08-13,2019-08-28,15,35,202,188.533333333333,"BAL-11a",240,188.533333333333
45.84548,9.00037,263,"Intervention","Balerna",2019-08-28,2019-09-11,14,37,34,34,"BAL-11a",254,34
45.84548,9.00037,263,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,0,0,"BAL-11a",270,0
45.84548,9.00037,263,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,57,61.3846153846154,"BAL-11a",283,61.3846153846154
45.85177,9.00475,316,"Intervention","Balerna",2019-06-09,2019-06-21,12,25,0,0,"BAL-2b",172,0
45.85177,9.00475,316,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,407,438.307692307692,"BAL-2b",197,438.307692307692
45.85177,9.00475,316,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,1,1,"BAL-2b",211,1
45.85177,9.00475,316,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,104,104,"BAL-2b",225,104
45.85177,9.00475,316,"Intervention","Balerna",2019-08-13,2019-08-28,15,35,37,34.5333333333333,"BAL-2b",240,34.5333333333333
45.85177,9.00475,316,"Intervention","Balerna",2019-08-28,2019-09-11,14,37,48,48,"BAL-2b",254,48
45.85177,9.00475,316,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,0,0,"BAL-2b",270,0
45.85177,9.00475,316,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,45,48.4615384615385,"BAL-2b",283,48.4615384615385
45.84767,9.00551,282,"Intervention","Balerna",2019-05-23,2019-06-09,17,23,0,0,"BAL-5b",160,0
45.84767,9.00551,282,"Intervention","Balerna",2019-06-09,2019-06-21,12,25,24,28,"BAL-5b",172,28
45.84767,9.00551,282,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,13,14,"BAL-5b",197,14
45.84767,9.00551,282,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,1,1,"BAL-5b",211,1
45.84767,9.00551,282,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,0,0,"BAL-5b",225,0
45.84767,9.00551,282,"Intervention","Balerna",2019-08-13,2019-08-28,15,35,35,32.6666666666667,"BAL-5b",240,32.6666666666667
45.84767,9.00551,282,"Intervention","Balerna",2019-08-28,2019-09-11,14,37,39,39,"BAL-5b",254,39
45.84767,9.00551,282,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,0,0,"BAL-5b",270,0
45.84767,9.00551,282,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,0,0,"BAL-5b",283,0
45.84727,9.01016,304,"Intervention","Balerna",2019-06-09,2019-06-21,12,25,29,33.8333333333333,"BAL-6b",172,33.8333333333333
