"WGS84.LAT","WGS84.LNG","ALTITUDE","AREA","MUNICIPALITY","Date.when.GAT.installed","Date.when.GAT.collected","No..Days.GAT.in.field","Week.when.GAT.collected","No..Ad..Albo.in.GAT","No..Ad..Albo.in.14.days","TRAP.ID.fac","Day.GAT.collected"
45.84548,9.00037,263,"Intervention","Balerna",2019-06-05,2019-06-18,13,25,2,2.15384615384615,"BAL-11a",169
45.84548,9.00037,263,"Intervention","Balerna",2019-06-18,2019-07-03,15,27,5,4.66666666666667,"BAL-11a",184
45.84548,9.00037,263,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,7,7.53846153846154,"BAL-11a",197
45.84548,9.00037,263,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,9,9,"BAL-11a",211
45.84548,9.00037,263,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,7,7,"BAL-11a",225
45.84548,9.00037,263,"Intervention","Balerna",2019-08-13,2019-08-26,13,35,8,8.61538461538462,"BAL-11a",238
45.84548,9.00037,263,"Intervention","Balerna",2019-08-26,2019-09-11,16,37,4,3.5,"BAL-11a",254
45.84548,9.00037,263,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,8,7,"BAL-11a",270
45.84548,9.00037,263,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,4,4.30769230769231,"BAL-11a",283
45.85177,9.00475,316,"Intervention","Balerna",2019-06-05,2019-06-18,13,25,0,0,"BAL-2b",169
45.85177,9.00475,316,"Intervention","Balerna",2019-06-18,2019-07-03,15,27,3,2.8,"BAL-2b",184
45.85177,9.00475,316,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,1,1.07692307692308,"BAL-2b",197
45.85177,9.00475,316,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,2,2,"BAL-2b",211
45.85177,9.00475,316,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,3,3,"BAL-2b",225
45.85177,9.00475,316,"Intervention","Balerna",2019-08-13,2019-08-26,13,35,4,4.30769230769231,"BAL-2b",238
45.85177,9.00475,316,"Intervention","Balerna",2019-08-26,2019-09-11,16,37,1,0.875,"BAL-2b",254
45.85177,9.00475,316,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,2,1.75,"BAL-2b",270
45.85177,9.00475,316,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,4,4.30769230769231,"BAL-2b",283
45.84767,9.00551,282,"Intervention","Balerna",2019-06-05,2019-06-18,13,25,0,0,"BAL-5b",169
45.84767,9.00551,282,"Intervention","Balerna",2019-06-18,2019-07-03,15,27,0,0,"BAL-5b",184
45.84767,9.00551,282,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,0,0,"BAL-5b",197
45.84767,9.00551,282,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,0,0,"BAL-5b",211
45.84767,9.00551,282,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,0,0,"BAL-5b",225
45.84767,9.00551,282,"Intervention","Balerna",2019-08-13,2019-08-26,13,35,2,2.15384615384615,"BAL-5b",238
45.84767,9.00551,282,"Intervention","Balerna",2019-08-26,2019-09-11,16,37,1,0.875,"BAL-5b",254
45.84767,9.00551,282,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,10,8.75,"BAL-5b",270
45.84767,9.00551,282,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,6,6.46153846153846,"BAL-5b",283
45.84727,9.01016,304,"Intervention","Balerna",2019-06-05,2019-06-18,13,25,0,0,"BAL-6b",169
45.84727,9.01016,304,"Intervention","Balerna",2019-06-18,2019-07-03,15,27,0,0,"BAL-6b",184
45.84727,9.01016,304,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,0,0,"BAL-6b",197
45.84727,9.01016,304,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,0,0,"BAL-6b",211
45.84727,9.01016,304,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,2,2,"BAL-6b",225
45.84727,9.01016,304,"Intervention","Balerna",2019-08-13,2019-08-26,13,35,3,3.23076923076923,"BAL-6b",238
45.84727,9.01016,304,"Intervention","Balerna",2019-08-26,2019-09-11,16,37,7,6.125,"BAL-6b",254
45.84727,9.01016,304,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,3,2.625,"BAL-6b",270
45.84727,9.01016,304,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,1,1.07692307692308,"BAL-6b",283
45.8462,9.0045,267,"Intervention","Balerna",2019-06-05,2019-06-18,13,25,0,0,"BAL-8b",169
45.8462,9.0045,267,"Intervention","Balerna",2019-06-18,2019-07-03,15,27,0,0,"BAL-8b",184
45.8462,9.0045,267,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,5,5.38461538461539,"BAL-8b",197
45.8462,9.0045,267,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,6,6,"BAL-8b",211
45.8462,9.0045,267,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,9,9,"BAL-8b",225
45.8462,9.0045,267,"Intervention","Balerna",2019-08-13,2019-08-26,13,35,7,7.53846153846154,"BAL-8b",238
45.8462,9.0045,267,"Intervention","Balerna",2019-08-26,2019-09-11,16,37,8,7,"BAL-8b",254
45.8462,9.0045,267,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,9,7.875,"BAL-8b",270
45.8462,9.0045,267,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,4,4.30769230769231,"BAL-8b",283
45.84477,9.00753,262,"Intervention","Balerna",2019-06-05,2019-06-18,13,25,4,4.30769230769231,"BAL-9a",169
45.84477,9.00753,262,"Intervention","Balerna",2019-06-18,2019-07-03,15,27,4,3.73333333333333,"BAL-9a",184
45.84477,9.00753,262,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,5,5.38461538461539,"BAL-9a",197
45.84477,9.00753,262,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,9,9,"BAL-9a",211
45.84477,9.00753,262,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,11,11,"BAL-9a",225
45.84477,9.00753,262,"Intervention","Balerna",2019-08-13,2019-08-26,13,35,4,4.30769230769231,"BAL-9a",238
45.84477,9.00753,262,"Intervention","Balerna",2019-08-26,2019-09-11,16,37,13,11.375,"BAL-9a",254
45.84477,9.00753,262,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,2,1.75,"BAL-9a",270
45.84477,9.00753,262,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,11,11.8461538461538,"BAL-9a",283
45.85256,8.98971,351,"Intervention","Coldrerio",2019-06-18,2019-07-03,15,27,3,2.8,"COL-11a",184
45.85256,8.98971,351,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,7,7.53846153846154,"COL-11a",197
45.85256,8.98971,351,"Intervention","Coldrerio",2019-07-16,2019-07-30,14,31,10,10,"COL-11a",211
45.85256,8.98971,351,"Intervention","Coldrerio",2019-07-30,2019-08-13,14,33,17,17,"COL-11a",225
45.85256,8.98971,351,"Intervention","Coldrerio",2019-08-13,2019-08-26,13,35,13,14,"COL-11a",238
45.85256,8.98971,351,"Intervention","Coldrerio",2019-08-26,2019-09-11,16,37,5,4.375,"COL-11a",254
45.85256,8.98971,351,"Intervention","Coldrerio",2019-09-11,2019-09-27,16,39,8,7,"COL-11a",270
45.85256,8.98971,351,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,20,21.5384615384615,"COL-11a",283
45.85714,8.98427,347,"Intervention","Coldrerio",2019-06-05,2019-06-18,13,25,3,3.23076923076923,"COL-2a",169
45.85714,8.98427,347,"Intervention","Coldrerio",2019-06-18,2019-07-03,15,27,4,3.73333333333333,"COL-2a",184
45.85714,8.98427,347,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,5,5.38461538461539,"COL-2a",197
45.85714,8.98427,347,"Intervention","Coldrerio",2019-07-16,2019-07-30,14,31,6,6,"COL-2a",211
45.85714,8.98427,347,"Intervention","Coldrerio",2019-07-30,2019-08-13,14,33,4,4,"COL-2a",225
45.85714,8.98427,347,"Intervention","Coldrerio",2019-08-13,2019-08-26,13,35,4,4.30769230769231,"COL-2a",238
45.85714,8.98427,347,"Intervention","Coldrerio",2019-08-26,2019-09-11,16,37,0,0,"COL-2a",254
45.85714,8.98427,347,"Intervention","Coldrerio",2019-09-11,2019-09-27,16,39,1,0.875,"COL-2a",270
